IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.109.138,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,174,12.63
131.186.41.82,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,70,12.63
141.147.167.44,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,76,12.63
158.179.181.107,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,131,12.62
131.186.37.69,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,71,12.62
150.230.104.197,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,69,12.62
131.186.41.255,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,71,12.61
141.147.182.76,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.61
152.70.106.185,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,70,12.61
168.138.214.62,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,71,12.61
168.138.212.74,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,71,12.61
132.226.5.76,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,72,12.61
150.230.220.232,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,91,12.6
158.101.158.251,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,70,12.59
158.179.176.239,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,71,12.59
150.230.217.63,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,73,12.59
155.248.166.141,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,78,12.59
141.147.186.101,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,70,12.58
140.83.37.145,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,71,12.58
138.2.29.102,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,69,12.58
158.101.150.74,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,114,12.58
158.179.183.2,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,137,12.58
132.145.93.198,2083,2053,TRUE,NRT,Asia Pacific,Tokyo,89,12.57
131.186.47.255,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,92,12.57
158.101.65.24,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,71,12.57
158.101.139.42,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,80,12.56
131.186.34.11,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,67,12.56
132.145.121.34,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,71,12.56
158.101.157.173,80,80,FALSE,NRT,Asia Pacific,Tokyo,70,12.56
138.2.14.209,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,86,12.55
158.179.179.70,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.55
141.147.186.101,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,72,12.55
158.101.159.212,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,72,12.54
138.3.223.50,80,80,FALSE,NRT,Asia Pacific,Tokyo,69,12.54
158.101.146.160,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,74,12.53
150.230.101.13,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,80,12.53
158.101.69.144,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.53
132.145.122.95,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.53
138.3.214.43,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,72,12.53
150.230.200.210,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,74,12.53
150.230.197.156,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,70,12.52
158.101.143.49,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,70,12.52
158.179.178.145,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,135,12.51
152.70.106.21,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,70,12.51
138.2.31.10,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,72,12.51
151.145.65.8,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,70,12.5
158.179.189.106,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,81,12.5
152.70.106.13,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,73,12.5
158.101.88.214,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.5
150.230.221.114,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,75,12.49
168.138.196.237,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,68,12.49
158.179.188.95,80,80,FALSE,NRT,Asia Pacific,Tokyo,72,12.48
132.226.5.102,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,69,12.46
140.83.36.42,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,78,12.46
168.138.212.40,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,69,12.45
141.147.169.131,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,71,12.45
141.147.176.200,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,70,12.45
141.147.162.204,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,73,12.44
132.145.112.247,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,72,12.44
138.3.210.114,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.44
138.2.20.230,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,70,12.43
158.101.145.246,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,71,12.43
131.186.36.248,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,74,12.42
168.138.202.169,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,70,12.42
152.70.106.21,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,75,12.42
132.145.120.95,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,70,12.42
158.101.155.115,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,71,12.42
132.145.121.123,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,88,12.41
150.230.104.197,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,79,12.4
141.147.165.179,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,159,12.4
150.230.108.135,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,71,12.4
131.186.46.75,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,107,12.4
