IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.17.210,443,443,true,FRA,Europe,Frankfurt,189,9.71
34.154.139.173,443,443,true,FRA,Europe,Frankfurt,178,9.67
34.118.11.239,443,443,true,FRA,Europe,Frankfurt,189,9.66
34.154.112.73,443,443,true,FRA,Europe,Frankfurt,181,9.65
34.116.237.159,443,443,true,FRA,Europe,Frankfurt,190,9.64
34.116.212.248,443,443,true,FRA,Europe,Frankfurt,199,9.60
34.116.231.198,443,443,true,FRA,Europe,Frankfurt,193,9.60
34.118.44.165,443,443,true,FRA,Europe,Frankfurt,191,9.59
34.154.213.202,443,443,true,FRA,Europe,Frankfurt,175,9.58
34.89.178.255,443,443,true,FRA,Europe,Frankfurt,171,9.57
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,256,9.56
34.118.15.49,443,443,true,FRA,Europe,Frankfurt,248,9.54
34.118.68.179,443,443,true,FRA,Europe,Frankfurt,190,9.52
34.90.210.132,443,443,true,FRA,Europe,Frankfurt,194,9.50
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,180,9.50
34.154.240.106,443,443,true,FRA,Europe,Frankfurt,180,9.48
34.118.123.119,443,443,true,FRA,Europe,Frankfurt,195,9.45
34.118.59.230,443,443,true,FRA,Europe,Frankfurt,194,9.45
34.116.242.182,443,443,true,FRA,Europe,Frankfurt,190,9.44
34.118.111.88,443,443,true,FRA,Europe,Frankfurt,232,9.43
34.116.196.84,443,443,true,HAM,Europe,Hamburg,196,9.43
34.118.79.236,443,443,true,FRA,Europe,Frankfurt,200,9.42
34.154.133.197,443,443,true,FRA,Europe,Frankfurt,179,9.41
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,244,9.41
34.118.17.210,443,443,true,FRA,Europe,Frankfurt,242,9.40
34.118.75.59,443,443,true,FRA,Europe,Frankfurt,226,9.40
34.66.72.229,443,443,true,ORD,North America,Chicago,206,9.40
34.91.129.16,443,443,true,FRA,Europe,Frankfurt,189,9.40
34.116.208.56,443,443,true,FRA,Europe,Frankfurt,207,9.38
34.154.196.132,443,443,true,ZRH,Europe,Zurich,177,9.38
34.91.166.120,443,443,true,FRA,Europe,Frankfurt,185,9.38
34.116.217.39,443,443,true,FRA,Europe,Frankfurt,194,9.38
34.118.68.179,443,443,true,FRA,Europe,Frankfurt,194,9.34
34.91.0.38,443,443,true,FRA,Europe,Frankfurt,188,9.33
34.118.0.2,443,443,true,FRA,Europe,Frankfurt,262,9.32
34.118.48.125,443,443,true,FRA,Europe,Frankfurt,225,9.27
34.118.62.169,443,443,true,FRA,Europe,Frankfurt,202,9.27
34.116.251.131,443,443,true,FRA,Europe,Frankfurt,190,9.26
34.116.234.57,443,443,true,FRA,Europe,Frankfurt,201,9.26
34.116.221.13,443,443,true,FRA,Europe,Frankfurt,190,9.25
34.116.183.48,443,443,true,FRA,Europe,Frankfurt,196,9.22
34.118.60.28,443,443,true,FRA,Europe,Frankfurt,190,9.21
34.90.103.92,443,443,true,FRA,Europe,Frankfurt,188,9.21
34.118.55.210,443,443,true,FRA,Europe,Frankfurt,242,9.19
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,189,9.19
34.118.99.159,443,443,true,FRA,Europe,Frankfurt,215,9.16
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,241,9.15
34.116.220.191,443,443,true,FRA,Europe,Frankfurt,193,9.15
34.118.89.221,443,443,true,FRA,Europe,Frankfurt,256,9.14
34.118.14.243,443,443,true,FRA,Europe,Frankfurt,244,9.14
34.116.198.179,443,443,true,FRA,Europe,Frankfurt,200,9.13
