IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.123.61.28,443,443,TRUE,FRA,Europe,Frankfurt,186,9.82
150.230.121.92,443,443,TRUE,FRA,Europe,Frankfurt,188,9.8
132.226.213.52,443,443,TRUE,FRA,Europe,Frankfurt,171,9.77
141.147.6.82,443,443,TRUE,FRA,Europe,Frankfurt,169,9.76
141.147.98.237,443,443,TRUE,FRA,Europe,Frankfurt,206,9.67
150.230.112.229,443,443,TRUE,FRA,Europe,Frankfurt,179,9.67
89.168.90.125,443,443,TRUE,FRA,Europe,Frankfurt,178,9.67
130.162.188.145,443,443,TRUE,FRA,Europe,Frankfurt,175,9.65
144.24.169.81,8443,443,TRUE,FRA,Europe,Frankfurt,188,9.62
158.180.13.250,443,443,TRUE,FRA,Europe,Frankfurt,202,9.6
144.21.33.120,443,443,TRUE,FRA,Europe,Frankfurt,176,9.59
193.122.14.65,443,443,TRUE,FRA,Europe,Frankfurt,182,9.53
141.147.68.105,443,443,TRUE,FRA,Europe,Frankfurt,177,9.49
130.61.239.203,2053,443,TRUE,FRA,Europe,Frankfurt,169,9.47
141.147.80.211,443,443,TRUE,FRA,Europe,Frankfurt,199,9.46
193.123.81.105,443,443,TRUE,CDG,Europe,Paris,103,9.44
140.238.120.228,443,443,TRUE,FRA,Europe,Frankfurt,191,9.44
144.21.50.146,443,443,TRUE,FRA,Europe,Frankfurt,188,9.4
132.226.131.96,443,443,TRUE,FRA,Europe,Frankfurt,189,9.4
141.147.9.205,443,443,TRUE,FRA,Europe,Frankfurt,189,9.39
89.168.71.128,443,443,TRUE,FRA,Europe,Frankfurt,179,9.38
140.238.83.58,443,443,TRUE,FRA,Europe,Frankfurt,175,9.33
141.147.68.47,443,443,TRUE,FRA,Europe,Frankfurt,200,9.28
130.162.226.78,443,443,TRUE,FRA,Europe,Frankfurt,178,9.25
132.226.214.177,443,443,TRUE,FRA,Europe,Frankfurt,192,9.21
141.147.111.104,443,443,TRUE,FRA,Europe,Frankfurt,193,9.2
